Year,State,Population
1976,AK,400000
1980,AK,405000
1984,AK,513000
1988,AK,541000
1992,AK,587000
1996,AK,604000
2000,AK,627000
2004,AK,659000
2008,AK,687000
2012,AK,730000
2016,AK,742000
2020,AK,732000
1976,AL,3735000
1980,AL,3900000
1984,AL,3951000
1988,AL,4023000
1992,AL,4139000
1996,AL,4290000
2000,AL,4452000
2004,AL,4530000
2008,AL,4718000
2012,AL,4816000
2016,AL,4866000
2020,AL,5024000
1976,AR,2170000
1980,AR,2288000
1984,AR,2319000
1988,AR,2342000
1992,AR,2394000
1996,AR,2504000
2000,AR,2678000
2004,AR,2749000
2008,AR,2874000
2012,AR,2952000
2016,AR,2991000
2020,AR,3012000
1976,AZ,2346000
1980,AZ,2737000
1984,AZ,3067000
1988,AZ,3535000
1992,AZ,3867000
1996,AZ,4432000
2000,AZ,5160000
2004,AZ,5652000
2008,AZ,6280000
2012,AZ,6556000
2016,AZ,6944000
2020,AZ,7177000
1976,CA,21935000
1980,CA,23800000
1984,CA,25844000
1988,CA,28464000
1992,CA,30875000
1996,CA,31780000
2000,CA,33987000
2004,CA,35574000
2008,CA,36604000
2012,CA,37944000
2016,CA,39149000
2020,CA,39499000
1976,CO,2632000
1980,CO,2908000
1984,CO,3169000
1988,CO,3262000
1992,CO,3459000
1996,CO,3812000
2000,CO,4326000
2004,CO,4575000
2008,CO,4889000
2012,CO,5193000
2016,CO,5543000
2020,CO,5784000
1976,CT,3083000
1980,CT,3113000
1984,CT,3180000
1988,CT,3271000
1992,CT,3274000
1996,CT,3267000
2000,CT,3411000
2004,CT,3496000
2008,CT,3545000
2012,CT,3595000
2016,CT,3579000
2020,CT,3600000
1976,DC,692000
1980,DC,638000
1984,DC,633000
1988,DC,630000
1992,DC,584000
1996,DC,538000
2000,DC,572000
2004,DC,567000
2008,DC,580000
2012,DC,635000
2016,DC,687000
2020,DC,690000
1976,DE,590000
1980,DE,594000
1984,DE,611000
1988,DE,647000
1992,DE,690000
1996,DE,727000
2000,DE,786000
2004,DE,830000
2008,DE,883000
2012,DE,915000
2016,DE,949000
2020,DE,991000
1976,FL,8667000
1980,FL,9839000
1984,FL,11039000
1988,FL,12306000
1992,FL,13504000
1996,FL,14426000
2000,FL,16047000
2004,FL,17415000
2008,FL,18527000
2012,FL,19302000
2016,FL,20627000
2020,FL,21569000
1976,GA,5132000
1980,GA,5486000
1984,GA,5834000
1988,GA,6316000
1992,GA,6759000
1996,GA,7332000
2000,GA,8227000
2004,GA,8769000
2008,GA,9504000
2012,GA,9903000
2016,GA,10308000
2020,GA,10725000
1976,HI,904000
1980,HI,967000
1984,HI,1027000
1988,HI,1079000
1992,HI,1149000
1996,HI,1184000
2000,HI,1213000
2004,HI,1273000
2008,HI,1332000
2012,HI,1395000
2016,HI,1428000
2020,HI,1451000
1976,IA,2903000
1980,IA,2914000
1984,IA,2858000
1988,IA,2768000
1992,IA,2806000
1996,IA,2848000
2000,IA,2929000
2004,IA,2953000
2008,IA,3016000
2012,IA,3076000
2016,IA,3133000
2020,IA,3188000
1976,ID,856000
1980,ID,947000
1984,ID,990000
1988,ID,985000
1992,ID,1066000
1996,ID,1187000
2000,ID,1299000
2004,ID,1391000
2008,ID,1534000
2012,ID,1595000
2016,ID,1684000
2020,ID,1847000
1976,IL,11342000
1980,IL,11434000
1984,IL,11412000
1988,IL,11390000
1992,IL,11635000
1996,IL,11953000
2000,IL,12434000
2004,IL,12589000
2008,IL,12747000
2012,IL,12883000
2016,IL,12821000
2020,IL,12785000
1976,IN,5389000
1980,IN,5490000
1984,IN,5458000
1988,IN,5491000
1992,IN,5648000
1996,IN,5834000
2000,IN,6091000
2004,IN,6233000
2008,IN,6424000
2012,IN,6538000
2016,IN,6637000
2020,IN,6785000
1976,KS,2301000
1980,KS,2369000
1984,KS,2424000
1988,KS,2461000
1992,KS,2526000
1996,KS,2598000
2000,KS,2693000
2004,KS,2734000
2008,KS,2808000
2012,KS,2886000
2016,KS,2912000
2020,KS,2935000
1976,KY,3529000
1980,KY,3664000
1984,KY,3695000
1988,KY,3679000
1992,KY,3756000
1996,KY,3881000
2000,KY,4049000
2004,KY,4146000
2008,KY,4289000
2012,KY,4387000
2016,KY,4440000
2020,KY,4503000
1976,LA,3950000
1980,LA,4223000
1984,LA,4400000
1988,LA,4288000
1992,LA,4270000
1996,LA,4338000
2000,LA,4471000
2004,LA,4552000
2008,LA,4435000
2012,LA,4602000
2016,LA,4681000
2020,LA,4651000
1976,MA,5743000
1980,MA,5746000
1984,MA,5840000
1988,MA,5979000
1992,MA,5993000
1996,MA,6085000
2000,MA,6361000
2004,MA,6412000
2008,MA,6468000
2012,MA,6664000
2016,MA,6827000
2020,MA,7022000
1976,MD,4150000
1980,MD,4227000
1984,MD,4365000
1988,MD,4657000
1992,MD,4902000
1996,MD,5057000
2000,MD,5311000
2004,MD,5546000
2008,MD,5684000
2012,MD,5888000
2016,MD,6007000
2020,MD,6172000
1976,ME,1088000
1980,ME,1126000
1984,ME,1155000
1988,ME,1203000
1992,ME,1235000
1996,ME,1241000
2000,ME,1277000
2004,ME,1313000
2008,ME,1330000
2012,ME,1328000
2016,ME,1332000
2020,ME,1362000
1976,MI,9129000
1980,MI,9255000
1984,MI,9049000
1988,MI,9217000
1992,MI,9470000
1996,MI,9739000
2000,MI,9952000
2004,MI,10055000
2008,MI,9946000
2012,MI,9898000
2016,MI,9954000
2020,MI,10067000
1976,MN,3964000
1980,MN,4085000
1984,MN,4157000
1988,MN,4296000
1992,MN,4471000
1996,MN,4647000
2000,MN,4933000
2004,MN,5087000
2008,MN,5247000
2012,MN,5377000
2016,MN,5525000
2020,MN,5707000
1976,MO,4839000
1980,MO,4921000
1984,MO,4975000
1988,MO,5081000
1992,MO,5193000
1996,MO,5367000
2000,MO,5607000
2004,MO,5747000
2008,MO,5923000
2012,MO,6026000
2016,MO,6091000
2020,MO,6154000
1976,MS,2429000
1980,MS,2525000
1984,MS,2578000
1988,MS,2580000
1992,MS,2610000
1996,MS,2709000
2000,MS,2848000
2004,MS,2889000
2008,MS,2947000
2012,MS,2984000
2016,MS,2990000
2020,MS,2956000
1976,MT,757000
1980,MT,788000
1984,MT,820000
1988,MT,800000
1992,MT,822000
1996,MT,876000
2000,MT,903000
2004,MT,930000
2008,MT,976000
2012,MT,1004000
2016,MT,1042000
2020,MT,1086000
1976,NC,5607000
1980,NC,5898000
1984,NC,6164000
1988,NC,6480000
1992,NC,6831000
1996,NC,7307000
2000,NC,8081000
2004,NC,8553000
2008,NC,9309000
2012,NC,9751000
2016,NC,10161000
2020,NC,10457000
1976,ND,645000
1980,ND,654000
1984,ND,680000
1988,ND,655000
1992,ND,635000
1996,ND,642000
2000,ND,642000
2004,ND,644000
2008,ND,657000
2012,ND,702000
2016,ND,756000
2020,ND,778000
1976,NE,1550000
1980,NE,1572000
1984,NE,1588000
1988,NE,1571000
1992,NE,1602000
1996,NE,1647000
2000,NE,1713000
2004,NE,1749000
2008,NE,1796000
2012,NE,1853000
2016,NE,1906000
2020,NE,1961000
1976,NH,845000
1980,NH,924000
1984,NH,976000
